Type,Strategies,Persona,Weight
Willing to try,going to the gym,persona2,1
Willing to try,hanging out with family members ,persona2,0
Willing to try,hanging out with friends,persona2,0
Willing to try,journaling,persona2,0
Willing to try,learning a new skill,persona2,3
Willing to try,listening to music,persona2,0
Willing to try,meditation,persona2,4
Willing to try,outdoor activities,persona2,2
Willing to try,planning,persona2,1
Willing to try,planning/going on trips,persona2,2
Willing to try,playing video games,persona2,0
Willing to try,reading a self-help book,persona2,2
Willing to try,reading books,persona2,2
Willing to try,reading/thinking affirmations,persona2,1
Willing to try,running,persona2,0
Willing to try,shopping/window shopping,persona2,0
Willing to try,sleeping,persona2,0
Willing to try,spending time on social media,persona2,0
Willing to try,talking to a professional,persona2,2
Willing to try,talking to family members,persona2,0
Willing to try,talking to friends,persona2,0
Willing to try,using drugs,persona2,1
Willing to try,volunteering,persona2,2
Willing to try,watching movies/tv shows,persona2,0
Willing to try,yoga,persona2,3
Not working,cooking,persona3,0
Not working,crying,persona3,1
Not working,drawing,persona3,2
Not working,drinking alcohol,persona3,1
Not working,eating,persona3,3
Not working,eating junk food,persona3,2
Not working,gardening,persona3,0
Not working,going to the gym,persona3,1
Not working,hanging out with family members ,persona3,1
Not working,hanging out with friends,persona3,1
Not working,journaling,persona3,1
Not working,learning a new skill,persona3,0
Not working,listening to music,persona3,0
Not working,meditation,persona3,1
Not working,outdoor activities,persona3,0
Not working,planning,persona3,1
Not working,planning/going on trips,persona3,0
Not working,playing video games,persona3,2
Not working,reading a self-help book,persona3,0
Not working,reading books,persona3,0
Not working,reading/thinking affirmations,persona3,1
Not working,running,persona3,1
Not working,shopping/window shopping,persona3,0
Not working,sleeping,persona3,2
Not working,spending time on social media,persona3,4
Not working,talking to a professional,persona3,0
Not working,talking to family members,persona3,0
Not working,talking to friends,persona3,0
Not working,using drugs,persona3,1
Not working,volunteering,persona3,1
Not working,watching movies/tv shows,persona3,1
Not working,yoga,persona3,0
Works for me,cooking,persona3,0
Works for me,crying,persona3,2
Works for me,drawing,persona3,1
Works for me,drinking alcohol,persona3,0
Works for me,eating,persona3,2
Works for me,eating junk food,persona3,1
Works for me,gardening,persona3,1
Works for me,going to the gym,persona3,1
Works for me,hanging out with family members ,persona3,1
Works for me,hanging out with friends,persona3,3
Works for me,journaling,persona3,1
Works for me,learning a new skill,persona3,1
Works for me,listening to music,persona3,4
Works for me,meditation,persona3,0
Works for me,outdoor activities,persona3,3
Works for me,planning,persona3,2
Works for me,planning/going on trips,persona3,1
Works for me,playing video games,persona3,1
Works for me,reading a self-help book,persona3,0
Works for me,reading books,persona3,3
Works for me,reading/thinking affirmations,persona3,0
Works for me,running,persona3,2
Works for me,shopping/window shopping,persona3,1
Works for me,sleeping,persona3,3
Works for me,spending time on social media,persona3,1
Works for me,talking to a professional,persona3,2
Works for me,talking to family members,persona3,3
Works for me,talking to friends,persona3,5
Works for me,using drugs,persona3,0
Works for me,volunteering,persona3,1
Works for me,watching movies/tv shows,persona3,3
Works for me,yoga,persona3,0
Willing to try,cooking,persona3,4
Willing to try,crying,persona3,0
Willing to try,drawing,persona3,1
Willing to try,drinking alcohol,persona3,0
Willing to try,eating,persona3,0
Willing to try,eating junk food,persona3,0
Willing to try,gardening,persona3,2
Willing to try,going to the gym,persona3,2
Willing to try,hanging out with family members ,persona3,0
Willing to try,hanging out with friends,persona3,0
Willing to try,journaling,persona3,2
Willing to try,learning a new skill,persona3,2
Willing to try,listening to music,persona3,0
Willing to try,meditation,persona3,3
Willing to try,outdoor activities,persona3,1
Willing to try,planning,persona3,0
Willing to try,planning/going on trips,persona3,2
Willing to try,playing video games,persona3,0
Willing to try,reading a self-help book,persona3,1
Willing to try,reading books,persona3,1
Willing to try,reading/thinking affirmations,persona3,1
Willing to try,running,persona3,0
Willing to try,shopping/window shopping,persona3,0
Willing to try,sleeping,persona3,0
Willing to try,spending time on social media,persona3,0
